# 2025.10.10 [*] created by TopoDroid v 6.3.52
# name: Laci_Fogadalom
# date: 2022.03.19
# team: NemLaci
# declination: 5.37
# units: tape meter compass clino degree
# from, to, tape, compass, clino, extend, flags, comment
27@Laci_Fogadalom,-,6.51,335.3,-10.8,,,""
27@Laci_Fogadalom,-,6.60,340.3,-11.5,,,""
27@Laci_Fogadalom,-,2.05,342.4,-14.7,,,""
27@Laci_Fogadalom,-,1.28,352.7,-20.1,,,""
27@Laci_Fogadalom,-,1.20,5.9,-26.3,,,""
27@Laci_Fogadalom,-,0.80,31.2,-25.6,,,""
27@Laci_Fogadalom,28@Laci_Fogadalom,5.34,53.1,85.6,1,,""
28@Laci_Fogadalom,-,1.40,172.1,-3.7,,,""
28@Laci_Fogadalom,-,2.24,167.9,-18.9,,,""
28@Laci_Fogadalom,-,1.77,171.0,-31.1,,,""
28@Laci_Fogadalom,-,2.45,176.3,-59.8,,,""
28@Laci_Fogadalom,-,3.45,182.5,-73.1,,,""
28@Laci_Fogadalom,-,5.73,176.6,-68.2,,,""
28@Laci_Fogadalom,-,4.36,188.2,-80.1,,,""
28@Laci_Fogadalom,-,7.46,228.9,-84.1,,,""
28@Laci_Fogadalom,-,1.37,342.9,-11.0,,,""
28@Laci_Fogadalom,-,1.41,338.9,-28.1,,,""
28@Laci_Fogadalom,-,1.66,331.8,-45.3,,,""
28@Laci_Fogadalom,-,5.03,346.6,-58.2,,,""
28@Laci_Fogadalom,-,4.56,338.9,-69.9,,,""
28@Laci_Fogadalom,-,0.73,13.5,-89.2,,,""
28@Laci_Fogadalom,-,0.58,250.2,-38.5,,,""
28@Laci_Fogadalom,-,1.03,259.0,-66.4,,,""
28@Laci_Fogadalom,-,2.12,264.4,-79.2,,,""
28@Laci_Fogadalom,-,0.49,87.9,-71.6,,,""
28@Laci_Fogadalom,-,1.20,99.3,-82.8,,,""
28@Laci_Fogadalom,-,2.42,117.6,-85.7,,,""
28@Laci_Fogadalom,-,2.86,123.2,-89.6,,,""
28@Laci_Fogadalom,-,3.58,242.1,-88.5,,,""
28@Laci_Fogadalom,-,7.82,236.7,-84.5,,,""
28@Laci_Fogadalom,-,3.97,242.0,-81.2,,,""
28@Laci_Fogadalom,-,2.02,246.3,-78.7,,,""
28@Laci_Fogadalom,-,1.07,242.3,-67.4,,,""
28@Laci_Fogadalom,-,0.66,282.3,56.1,,,""
28@Laci_Fogadalom,-,1.10,305.2,76.7,,,""
28@Laci_Fogadalom,-,1.94,349.2,58.6,,,""
28@Laci_Fogadalom,-,2.27,2.8,46.9,,,""
28@Laci_Fogadalom,29@Laci_Fogadalom,2.83,105.7,68.9,-1,,""
29@Laci_Fogadalom,-,0.49,359.9,12.9,,,""
29@Laci_Fogadalom,-,0.64,340.4,11.1,,,""
29@Laci_Fogadalom,-,0.40,294.1,-1.0,,,""
29@Laci_Fogadalom,-,0.45,261.1,1.2,,,""
29@Laci_Fogadalom,-,1.40,334.6,-60.6,,,""
29@Laci_Fogadalom,-,3.42,291.1,-62.3,,,""
29@Laci_Fogadalom,-,2.50,289.3,-56.3,,,""
29@Laci_Fogadalom,-,0.72,274.0,-46.1,,,""
29@Laci_Fogadalom,-,1.37,212.9,-31.0,,,""
29@Laci_Fogadalom,-,0.50,217.6,24.5,,,""
29@Laci_Fogadalom,-,1.03,257.6,77.4,,,""
29@Laci_Fogadalom,-,1.40,130.9,74.4,,,""
29@Laci_Fogadalom,-,1.30,96.6,66.1,,,""
29@Laci_Fogadalom,-,0.99,93.7,55.9,,,""
29@Laci_Fogadalom,-,2.13,145.9,27.0,,,""
29@Laci_Fogadalom,-,0.23,162.6,28.0,,,""
29@Laci_Fogadalom,-,1.37,140.5,73.7,,,""
29@Laci_Fogadalom,30@Laci_Fogadalom,2.38,146.0,57.2,-1,,""
29@Laci_Fogadalom,31@Laci_Fogadalom,0.65,138.7,32.7,-1,,""
31@Laci_Fogadalom,32@Laci_Fogadalom,1.93,348.6,44.0,1,,""
27@Laci_Fogadalom,33@Laci_Fogadalom,1.65,175.5,-8.6,-1,,""
33@Laci_Fogadalom,-,5.65,145.5,65.2,,,""
33@Laci_Fogadalom,-,5.23,147.8,62.4,,,""
33@Laci_Fogadalom,-,4.12,151.5,53.8,,,""
33@Laci_Fogadalom,-,1.95,155.1,40.5,,,""
33@Laci_Fogadalom,-,0.72,154.3,-4.8,,,""
33@Laci_Fogadalom,-,6.28,148.6,76.4,,,""
25@Laci_Fogadalom,34@Laci_Fogadalom,10.46,230.2,19.3,-1,,"Ion kürtő alja"
34@Laci_Fogadalom,-,1.30,215.8,-81.2,,,""
34@Laci_Fogadalom,-,0.26,205.7,-1.6,,,""
34@Laci_Fogadalom,-,2.08,214.1,-0.7,,,""
34@Laci_Fogadalom,-,3.53,221.0,5.7,,,""
34@Laci_Fogadalom,-,4.67,225.4,8.6,,,""
34@Laci_Fogadalom,-,5.82,229.8,10.4,,,""
34@Laci_Fogadalom,-,7.15,234.4,12.8,,,""
34@Laci_Fogadalom,-,8.46,238.3,12.4,,,""
34@Laci_Fogadalom,-,5.35,240.4,12.3,,,""
34@Laci_Fogadalom,-,4.35,244.1,12.5,,,""
34@Laci_Fogadalom,-,2.54,249.6,14.3,,,""
34@Laci_Fogadalom,-,1.75,264.5,16.8,,,""
34@Laci_Fogadalom,-,1.25,6.1,-85.2,,,""
34@Laci_Fogadalom,-,1.28,15.2,81.1,,,""
34@Laci_Fogadalom,-,1.47,325.3,2.8,,,""
34@Laci_Fogadalom,-,1.12,348.9,-5.3,,,""
34@Laci_Fogadalom,-,2.25,8.6,-5.7,,,""
34@Laci_Fogadalom,-,2.29,30.6,-0.3,,,""
34@Laci_Fogadalom,-,2.53,36.6,-0.8,,,""
34@Laci_Fogadalom,-,3.07,38.6,-1.7,,,""
34@Laci_Fogadalom,-,4.07,40.6,-9.5,,,""
34@Laci_Fogadalom,-,4.30,31.3,-19.7,,,""
34@Laci_Fogadalom,-,5.26,35.2,-19.4,,,""
34@Laci_Fogadalom,-,6.67,38.6,-22.2,,,""
34@Laci_Fogadalom,-,7.15,43.7,-22.8,,,""
34@Laci_Fogadalom,-,9.13,45.7,-22.7,,,""
34@Laci_Fogadalom,-,9.86,48.8,-22.3,,,""
34@Laci_Fogadalom,-,0.66,79.6,-18.5,,,""
34@Laci_Fogadalom,-,1.26,76.6,-15.7,,,""
34@Laci_Fogadalom,-,2.08,72.6,-15.4,,,""
34@Laci_Fogadalom,-,5.27,71.0,-19.7,,,""
34@Laci_Fogadalom,-,9.19,70.4,-18.7,,,""
34@Laci_Fogadalom,-,8.05,65.7,-18.8,,,""
34@Laci_Fogadalom,-,8.80,62.3,-20.0,,,""
34@Laci_Fogadalom,-,9.33,58.4,-18.0,,,""
34@Laci_Fogadalom,-,14.48,58.9,-20.6,,,""
34@Laci_Fogadalom,-,12.62,63.3,-22.8,,,""
34@Laci_Fogadalom,-,15.41,53.8,-20.7,,,""
34@Laci_Fogadalom,-,21.58,50.2,-24.4,,,""
34@Laci_Fogadalom,35@Laci_Fogadalom,4.96,349.3,61.3,1,,""
35@Laci_Fogadalom,-,0.60,37.4,8.8,,,""
35@Laci_Fogadalom,-,0.97,58.8,5.2,,,""
35@Laci_Fogadalom,-,1.44,70.6,4.5,,,""
35@Laci_Fogadalom,-,3.26,69.4,13.3,,,""
35@Laci_Fogadalom,-,5.26,71.2,7.8,,,""
35@Laci_Fogadalom,-,4.13,76.4,6.8,,,""
35@Laci_Fogadalom,-,4.11,82.8,4.0,,,""
35@Laci_Fogadalom,-,3.28,92.9,3.5,,,""
35@Laci_Fogadalom,-,3.26,102.1,-0.0,,,""
35@Laci_Fogadalom,-,2.42,109.3,1.1,,,""
35@Laci_Fogadalom,-,1.75,125.1,-1.0,,,""
35@Laci_Fogadalom,-,1.19,140.7,-1.6,,,""
